Ticker,CompanyName,Sector,Industry,Location,DateAdded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3/4/1957
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/4/1957
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",12/31/2012
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/1997
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/2000
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",4/30/1985
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",9/18/2023
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/2017
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/2017
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",7/13/1995
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/1957
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",11/18/2005
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",6/7/2019
AMTM,Amentum,Industrials,Diversified Support Services,"Chantilly, Virginia",9/30/2024
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",3/4/1957
AXP,American Express,Financials,Consumer Finance,"New York City, New York",6/30/1976
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",3/31/1980
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",11/19/2007
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013
